task,sample_id,n_spots,n_patch_spots,n_nuclei,factor,patch_px,nucleus_spot_pairs,spots_with_nuclei,mean_nuclei_per_spot,classes
CCRCC,INT1,1084,1084,37483,1.0943478476792592,245.13391788015406,44974,1076,41.488929889298895,connective|epithelial|inflammatory|neoplastic
CCRCC,INT10,1983,1983,75114,1.0916679389305561,244.5336183204446,102395,1980,51.63640948058497,connective|epithelial|inflammatory|neoplastic
CCRCC,INT11,1439,1439,42314,1.095,245.28,60534,1422,42.06671299513551,connective|epithelial|inflammatory|neoplastic
CCRCC,INT12,1451,1451,76974,1.0925041189853701,244.72092265272292,96314,1450,66.3776705720193,connective|epithelial|inflammatory|neoplastic
CCRCC,INT13,4359,4359,128664,1.0930687043262155,244.84738976907227,147509,4348,33.8401009405827,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT14,4562,4562,273124,1.0927247896279344,244.7703528766573,319792,4553,70.09907935116178,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT15,4940,4940,156803,1.092055062635518,244.62033403035605,154078,4939,31.189878542510122,connective|epithelial|inflammatory|neoplastic
CCRCC,INT16,3206,3206,49151,1.09256553537239,244.73467992341534,62184,3168,19.39613225202745,connective|epithelial|inflammatory|neoplastic
CCRCC,INT17,3585,3585,197999,1.0928237693025808,244.7925243237781,219584,3585,61.25076708507671,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT18,4915,4915,162727,1.0914693906667348,244.4891435093486,188908,4912,38.43499491353001,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT19,4948,4948,201766,1.0934826453545123,244.94011255941075,229322,4902,46.3464025869038,connective|epithelial|inflammatory|neoplastic
CCRCC,INT2,2580,2580,94534,1.094,245.056,133919,2572,51.90658914728682,connective|epithelial|inflammatory|neoplastic
CCRCC,INT20,4860,4860,23989,1.0938296796023883,245.017848230935,26856,3186,5.525925925925926,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT21,4975,4975,170183,1.0932865101795142,244.8961782802112,174892,4957,35.15417085427136,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT22,3829,3829,16805,1.0928858644125676,244.80643362841516,14374,2379,3.7539827631235307,connective|epithelial|inflammatory|neoplastic
CCRCC,INT23,4755,4755,3687,1.0928170477799735,244.79101870271404,4457,1673,0.93732912723449,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT24,4510,4510,219747,1.0932132301308992,244.8797635493214,200793,4462,44.521729490022175,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT3,2007,2007,73671,1.0925,244.72,103573,1993,51.60587942202292,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT4,1349,1349,44373,1.090005096828043,244.16114168948164,52235,1296,38.721275018532246,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT5,1186,1186,34706,1.0950028538775594,245.28063926857328,48411,1168,40.81871838111299,connective|epithelial|inflammatory|neoplastic
CCRCC,INT6,1678,1678,68689,1.0937500793650765,245.00001777777715,92689,1675,55.23778307508939,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT7,2374,2374,73790,1.0925007151027408,244.72016018301395,101630,2372,42.809604043807916,connective|epithelial|inflammatory|neoplastic
CCRCC,INT8,1949,1949,43637,1.094,245.056,57828,1929,29.67060030785018,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT9,1696,1696,56530,1.0927790487480606,244.78250691956558,74638,1676,44.008254716981135,connective|epithelial|inflammatory|neoplastic
