task,sample_id,n_spots,n_patch_spots,n_nuclei,factor,patch_px,nucleus_spot_pairs,spots_with_nuclei,mean_nuclei_per_spot,classes
PRAD,MEND139,3749,3749,208521,1.4629703095524789,327.7053493397553,294714,3744,78.61136303014138,connective|epithelial|inflammatory|neoplastic
PRAD,MEND140,1935,1935,92292,1.4633529717012954,327.79106566109016,129849,1934,67.10542635658915,connective|epithelial|inflammatory|neoplastic
PRAD,MEND141,1794,1794,57741,1.465229613636359,328.2114334545444,70141,1792,39.09754738015607,connective|epithelial|inflammatory|neoplastic
PRAD,MEND142,2997,2997,172672,1.465007444187528,328.1616674980063,215619,2997,71.94494494494495,connective|epithelial|inflammatory|neoplastic
PRAD,MEND143,3816,3816,151573,1.4635971943597372,327.84577153658114,195263,3816,51.16954926624738,connective|epithelial|inflammatory|neoplastic
PRAD,MEND144,4074,4074,128042,1.4647888287534048,328.1126976407627,174916,4074,42.934707903780065,connective|epithelial|inflammatory|neoplastic
PRAD,MEND145,1418,1418,64003,1.4645060020718277,328.0493444640894,79116,1411,55.79407616361072,connective|epithelial|inflammatory|neoplastic
PRAD,MEND146,1964,1964,49572,1.4649311746779623,328.14458312786354,70036,1961,35.65987780040733,connective|epithelial|inflammatory|neoplastic
PRAD,MEND147,2335,2335,113158,1.4351429008731265,321.47200979558033,156508,2314,67.0269807280514,connective|epithelial|inflammatory|neoplastic
PRAD,MEND148,1633,1633,69578,1.4339300515507203,321.2003315473613,93097,1628,57.009797917942436,connective|epithelial|inflammatory|neoplastic
PRAD,MEND149,1851,1851,101063,1.434260292864333,321.2743056016106,136985,1850,74.00594273365748,connective|epithelial|inflammatory|neoplastic
PRAD,MEND150,1751,1751,103956,1.4352244564193026,321.4902782379238,132747,1751,75.81210736721873,connective|epithelial|inflammatory|neoplastic
PRAD,MEND151,2600,2600,123929,1.4341375671140495,321.2468150335471,168978,2600,64.99153846153847,connective|epithelial|inflammatory|neoplastic
PRAD,MEND152,3082,3082,163558,1.431650501450358,320.6897123248802,230485,3080,74.78423101881894,connective|epithelial|inflammatory|neoplastic
PRAD,MEND153,1820,1820,99507,1.4343603086019963,321.2967091268472,131003,1777,71.97967032967033,connective|epithelial|inflammatory|neoplastic
PRAD,MEND154,2736,2736,139574,0.8726530526315788,195.47428378947365,171201,2727,62.5734649122807,connective|epithelial|inflammatory|neoplastic
PRAD,MEND156,3554,3554,258879,0.8726530526315788,195.47428378947365,257715,3553,72.51406865503658,connective|dead|epithelial|inflammatory|neoplastic
PRAD,MEND157,3190,3190,145230,0.872653758894407,195.47444199234718,191622,3188,60.06959247648903,connective|epithelial|inflammatory|neoplastic
PRAD,MEND158,3092,3092,137685,0.8715428070175435,195.22558877192975,180017,3090,58.22024579560155,connective|dead|epithelial|inflammatory|neoplastic
PRAD,MEND159,3856,3856,294647,0.7272044592926746,162.89379888155912,407617,3854,105.70980290456431,connective|dead|epithelial|inflammatory|neoplastic
PRAD,MEND160,4079,4079,220480,0.8726537588944063,195.474441992347,267358,4076,65.54498651630301,connective|epithelial|inflammatory|neoplastic
PRAD,MEND161,2775,2775,138072,0.7272020914830338,162.89326849219958,185237,2764,66.75207207207207,connective|dead|epithelial|inflammatory|neoplastic
PRAD,MEND162,2609,2609,61368,2.9115735531254807,652.1924759001076,83035,2484,31.826370256803372,connective|epithelial|inflammatory|neoplastic
