task,sid,factor,patch_from_factor,patch_size_attr,pixel_size_attr,pse,patch_from_pse,pseb,patch_from_pseb,diff_pse,diff_pseb
CCRCC,INT1,1.0943478476792592,245.13391788015406,245.0,,0.4568931177233368,245.13391788015406,0.4576659038901601,244.72000000000006,0.0,0.41391788015400266
CCRCC,INT10,1.0916679389305561,244.5336183204446,245.0,,0.4580147333902844,244.5336183204446,0.4576659038901601,244.72000000000006,0.0,0.18638167955546692
CCRCC,INT11,1.095,245.28,245.0,,0.456621005,245.279999766984,0.4576659038901601,244.72000000000006,2.3301601004277472e-07,0.5599999999999454
CCRCC,INT12,1.0925041189853701,244.72092265272292,245.0,,0.4576641783871348,244.72092265272292,0.4576659038901601,244.72000000000006,0.0,0.000922652722863404
CCRCC,INT13,1.0930687043262155,244.84738976907227,245.0,,0.4574277884098857,244.84738976907227,0.4576659038901602,244.72,0.0,0.1273897690722663
CCRCC,INT14,1.0927247896279344,244.7703528766573,245.0,,0.4575717552543552,244.77035287665734,0.4576659038901602,244.72,2.842170943040401e-14,0.05035287665731403
CCRCC,INT15,1.092055062635518,244.62033403035605,245.0,,0.457852371,244.62033418191035,0.4576659038901602,244.72,1.515543033292488e-07,0.0996659696439508
CCRCC,INT16,1.09256553537239,244.73467992341534,245.0,,0.4576384517104322,244.73467992341534,0.4576659038901602,244.72,0.0,0.01467992341534341
CCRCC,INT17,1.0928237693025808,244.7925243237781,245.0,,0.4575303118810184,244.79252432377817,0.4576659038901602,244.72,5.684341886080802e-14,0.07252432377811147
CCRCC,INT18,1.0914693906667348,244.4891435093486,244.0,,0.4580980504589049,244.48914350934857,0.4576659038901602,244.72,2.842170943040401e-14,0.230856490651405
CCRCC,INT19,1.0934826453545123,244.94011255941075,245.0,,0.4572546277932903,244.94011255941078,0.4576659038901602,244.72,2.842170943040401e-14,0.22011255941075092
CCRCC,INT2,1.094,245.056,245.0,,0.4570383912248628,245.05600000000007,0.4576659038901601,244.72000000000006,5.684341886080802e-14,0.3359999999999559
CCRCC,INT20,1.0938296796023883,245.017848230935,245.0,,0.4571095567472187,245.017848230935,0.4576659038901602,244.72,0.0,0.2978482309349886
CCRCC,INT21,1.0932865101795142,244.8961782802112,245.0,,0.4573366590957951,244.8961782802112,0.4576659038901602,244.72,0.0,0.17617828021118953
CCRCC,INT22,1.0928858644125676,244.80643362841516,245.0,,0.4575043161243126,244.80643362841516,0.4576659038901602,244.72,0.0,0.08643362841516478
CCRCC,INT23,1.0928170477799735,244.79101870271404,245.0,,0.4575331259845696,244.79101870271407,0.4576659038901602,244.72,2.842170943040401e-14,0.07101870271404209
CCRCC,INT24,1.0932132301308992,244.8797635493214,245.0,,0.4573673151944301,244.8797635493214,0.4576659038901601,244.72000000000006,0.0,0.1597635493213545
CCRCC,INT3,1.0925,244.72,245.0,,0.4576659038901602,244.72,0.4576659038901601,244.72000000000006,0.0,5.684341886080802e-14
CCRCC,INT4,1.090005096828043,244.16114168948164,244.0,,0.4587134513912085,244.1611416894816,0.4576659038901601,244.72000000000006,2.842170943040401e-14,0.5588583105184171
CCRCC,INT5,1.0950028538775594,245.28063926857328,245.0,,0.4566198144867198,245.28063926857334,0.4576659038901601,244.72000000000006,5.684341886080802e-14,0.560639268573226
CCRCC,INT6,1.0937500793650765,245.00001777777715,245.0,,0.4571428239714969,245.00001777777717,0.4576659038901601,244.72000000000006,2.842170943040401e-14,0.2800177777770898
CCRCC,INT7,1.0925007151027408,244.72016018301395,245.0,,0.4576656043222626,244.72016018301397,0.4576659038901601,244.72000000000006,2.842170943040401e-14,0.0001601830138895366
CCRCC,INT8,1.094,245.056,245.0,,0.4570383912248628,245.05600000000007,0.4576659038901601,244.72000000000006,5.684341886080802e-14,0.3359999999999559
CCRCC,INT9,1.0927790487480606,244.78250691956558,245.0,,0.457549035711129,244.7825069195656,0.4576659038901601,244.72000000000006,2.842170943040401e-14,0.06250691956552146
COAD,TENX111,1.8261186832124818,409.05058503959594,224.0,0.27380476668712855,0.2738047666871285,409.050585039596,0.2125,527.0588235294118,5.684341886080802e-14,118.00823848981588
COAD,TENX147,2.002385161842496,448.5342762527191,224.0,0.24970220990846967,0.2497022099084696,448.5342762527192,0.2737753719614869,409.0945040000001,1.1368683772161603e-13,39.439772252719024
COAD,TENX148,1.8264149169750052,409.11694140240115,224.0,0.27376035716359765,0.2737603571635976,409.11694140240127,0.2737761889511267,409.09328320000003,1.1368683772161603e-13,0.023658202401122708
COAD,TENX149,1.8246118295021179,408.7130498084744,224.0,0.2740308880582206,0.2740308880582206,408.7130498084744,0.2737768185611484,409.09234240000006,0.0,0.37929259152565464
HCC,NCBI642,1.1027638427806936,247.01910078287537,247.0,,0.4534062331416454,247.01910078287537,0.4542563823021713,246.5568,0.0,0.46230078287536003
HCC,NCBI643,1.10142750511269,246.71976114524256,247.0,,0.4539563409112828,246.7197611452426,0.4542563823021713,246.5568,2.842170943040401e-14,0.1629611452425479
IDC,NCBI783,1.8250849133211362,408.8190205839345,409.0,,0.2739598559774087,408.8190205839346,0.2739797412255864,408.7893488000001,1.1368683772161603e-13,0.029671783934418272
IDC,NCBI785,1.3739630864005898,307.76773135373213,308.0,,0.3639107956749145,307.76773135373213,0.3637880037049625,307.87161440000006,0.0,0.10388304626792433
IDC,TENX95,2.3529411764705883,527.0588235294118,527.0,,0.2125,527.0588235294118,1.0,112.0,0.0,415.0588235294118
IDC,TENX99,2.3529411764705883,527.0588235294118,527.0,,0.2125,527.0588235294118,1.0,112.0,0.0,415.0588235294118
LUNG,TENX118,1.8257781328448395,408.97430175724406,409.0,,0.2738558376865452,408.9743017572441,0.2737712196307981,409.1007088000001,5.684341886080802e-14,0.12640704275605685
LUNG,TENX141,1.8271976312712046,409.29226940474985,409.0,,0.2736430867919545,409.2922694047499,0.273771534,409.100239033617,5.684341886080802e-14,0.19203037113283017
LYMPH_IDC,NCBI681,1.8255376793913487,408.9204401836621,409.0,,0.2738919090219516,408.92044018366215,,,5.684341886080802e-14,
LYMPH_IDC,NCBI682,1.8256440289433422,408.94426248330865,409.0,,0.2738759539500113,408.94426248330876,,,1.1368683772161603e-13,
LYMPH_IDC,NCBI683,1.8286668371105654,409.62137151276664,410.0,,0.2734232337203853,409.62137151276676,,,1.1368683772161603e-13,
LYMPH_IDC,NCBI684,1.8283193229182155,409.5435283336803,410.0,,0.2734752041027168,409.5435283336803,,,0.0,
PAAD,TENX116,3.6526423696043087,818.1918907913652,818.0,,0.136887203675011,818.1918907913654,0.1368978372373151,818.1283376000001,2.2737367544323206e-13,0.06355319136503113
PAAD,TENX126,1.8255493042488564,408.92304415174385,409.0,,0.2738901649143521,408.92304415174385,0.2737654035815359,409.1094,0.0,0.1863558482561416
PAAD,TENX140,1.8263658593190983,409.105952487478,409.0,,0.2737677105869734,409.1059524874781,0.2737664753349272,409.1077984000001,5.684341886080802e-14,0.0018459125220715578
PRAD,MEND139,1.4629703095524789,327.7053493397553,328.0,,0.3417704356235018,327.7053493397553,,,0.0,
PRAD,MEND140,1.4633529717012954,327.79106566109016,328.0,,0.3416810637413744,327.79106566109016,,,0.0,
PRAD,MEND141,1.465229613636359,328.2114334545444,328.0,,0.3412434442674936,328.2114334545444,,,0.0,
PRAD,MEND142,1.465007444187528,328.1616674980063,328.0,,0.3412951940850326,328.1616674980063,,,0.0,
PRAD,MEND143,1.4635971943597372,327.84577153658114,328.0,,0.341624049,327.8457717711788,,,2.345976781725767e-07,
PRAD,MEND144,1.4647888287534048,328.1126976407627,328.0,,0.3413461313911852,328.1126976407627,,,0.0,
PRAD,MEND145,1.4645060020718277,328.0493444640894,328.0,,0.3414120524549937,328.0493444640895,,,5.684341886080802e-14,
PRAD,MEND146,1.4649311746779623,328.14458312786354,328.0,,0.3413129631225956,328.14458312786354,,,0.0,
PRAD,MEND147,1.4351429008731265,321.47200979558033,321.0,,0.3483973614723697,321.4720097955804,,,5.684341886080802e-14,
PRAD,MEND148,1.4339300515507203,321.2003315473613,321.0,,0.3486920435618712,321.2003315473613,,,0.0,
PRAD,MEND149,1.434260292864333,321.2743056016106,321.0,,0.3486117565183791,321.2743056016106,,,0.0,
PRAD,MEND150,1.4352244564193026,321.4902782379238,321.0,,0.3483775640553357,321.4902782379238,,,0.0,
PRAD,MEND151,1.4341375671140495,321.2468150335471,321.0,,0.3486415888303953,321.24681503354714,,,5.684341886080802e-14,
PRAD,MEND152,1.431650501450358,320.6897123248802,321.0,,0.3492472495860312,320.68971232488025,,,5.684341886080802e-14,
PRAD,MEND153,1.4343603086019963,321.2967091268472,321.0,,0.3485874483569101,321.2967091268472,,,0.0,
PRAD,MEND154,0.8726530526315788,195.47428378947365,195.0,,0.5729653938552056,195.47428378947365,,,0.0,
PRAD,MEND156,0.8726530526315788,195.47428378947365,195.0,,0.5729653938552056,195.47428378947365,,,0.0,
PRAD,MEND157,0.872653758894407,195.47444199234718,195.0,,0.5729649301384618,195.47444199234715,,,2.842170943040401e-14,
PRAD,MEND158,0.8715428070175435,195.22558877192975,195.0,,0.5736952860766773,195.22558877192975,,,0.0,
PRAD,MEND159,0.7272044592926746,162.89379888155912,163.0,,0.6875645406332241,162.89379888155912,,,0.0,
PRAD,MEND160,0.8726537588944063,195.474441992347,195.0,,0.5729649301384623,195.474441992347,,,0.0,
PRAD,MEND161,0.7272020914830338,162.89326849219958,163.0,,0.6875667793808392,162.89326849219958,,,0.0,
PRAD,MEND162,2.9115735531254807,652.1924759001076,652.0,,0.171728445418549,652.1924759001078,,,1.1368683772161603e-13,
READ,ZEN36,1.0884630054677162,243.81571322476844,244.0,,0.459363338,243.81571347776995,0.4598018254132469,243.5832,2.530015024149179e-07,0.23251322476843939
READ,ZEN40,1.0873342915817967,243.56288131432245,244.0,,0.4598401833465827,243.56288131432245,0.4598018254132469,243.5832,0.0,0.020318685677551684
READ,ZEN48,1.0890169577170656,243.9397985286227,244.0,,0.4591296732864132,243.9397985286227,0.4598018254132469,243.5832,0.0,0.3565985286226976
READ,ZEN49,1.0878169268266715,243.67099160917442,244.0,,0.4596361645691399,243.67099160917442,0.4598018254132469,243.5832,0.0,0.08779160917441686
SKCM,TENX115,1.8268858395516427,409.22242805956796,409.0,,0.2736897890251921,409.22242805956796,0.2737734606744956,409.0973600000001,0.0,0.12506805956786593
SKCM,TENX117,3.653561603019798,818.3977990764347,818.0,,0.1368527629551209,818.3977990764349,0.1368760936143237,818.2583024,2.2737367544323206e-13,0.13949667643464636
