task,encoder,fold,scale,alpha,is_formula_value,formula_alpha,d,gram_cond,gram_diag_mean,pearson
READ,resnet50,0,pca256,0.0,False,0.0078125,256,816.5923461914062,14038.3779296875,0.1341466456651687
READ,resnet50,0,pca256,0.0001,False,0.0078125,256,816.5923461914062,14038.3779296875,0.1342504918575287
READ,resnet50,0,pca256,0.001,False,0.0078125,256,816.5923461914062,14038.3779296875,0.1342504918575287
READ,resnet50,0,pca256,0.01,False,0.0078125,256,816.5923461914062,14038.3779296875,0.1342505663633346
READ,resnet50,0,pca256,0.1,False,0.0078125,256,816.5923461914062,14038.3779296875,0.1342511773109436
READ,resnet50,0,pca256,1.0,False,0.0078125,256,816.5923461914062,14038.3779296875,0.134257361292839
READ,resnet50,0,pca256,10.0,False,0.0078125,256,816.5923461914062,14038.3779296875,0.1343174874782562
READ,resnet50,0,pca256,100.0,False,0.0078125,256,816.5923461914062,14038.3779296875,0.1348776370286941
READ,resnet50,0,pca256,1000.0,False,0.0078125,256,816.5923461914062,14038.3779296875,0.1380471289157867
READ,resnet50,0,pca256,10000.0,False,0.0078125,256,816.5923461914062,14038.3779296875,0.1392950862646103
READ,resnet50,0,pca256,100000.0,False,0.0078125,256,816.5923461914062,14038.3779296875,0.1257137060165405
READ,resnet50,0,pca256,1000000.0,False,0.0078125,256,816.5923461914062,14038.3779296875,0.0971461236476898
READ,resnet50,0,raw,0.0,False,0.001953125,1024,105316.09375,3818.99951171875,0.1234084144234657
READ,resnet50,0,raw,0.0001,False,0.001953125,1024,105316.09375,3818.99951171875,0.1230606734752655
READ,resnet50,0,raw,0.001,False,0.001953125,1024,105316.09375,3818.99951171875,0.1230608969926834
READ,resnet50,0,raw,0.01,False,0.001953125,1024,105316.09375,3818.99951171875,0.1230630800127983
READ,resnet50,0,raw,0.1,False,0.001953125,1024,105316.09375,3818.99951171875,0.1231363713741302
READ,resnet50,0,raw,1.0,False,0.001953125,1024,105316.09375,3818.99951171875,0.1233522295951843
READ,resnet50,0,raw,10.0,False,0.001953125,1024,105316.09375,3818.99951171875,0.1252172142267227
READ,resnet50,0,raw,100.0,False,0.001953125,1024,105316.09375,3818.99951171875,0.1329096257686615
READ,resnet50,0,raw,1000.0,False,0.001953125,1024,105316.09375,3818.99951171875,0.1434058994054794
READ,resnet50,0,raw,10000.0,False,0.001953125,1024,105316.09375,3818.99951171875,0.1416790336370468
READ,resnet50,0,raw,100000.0,False,0.001953125,1024,105316.09375,3818.99951171875,0.1262995600700378
READ,resnet50,0,raw,1000000.0,False,0.001953125,1024,105316.09375,3818.99951171875,0.0973872020840644
READ,resnet50,1,pca256,0.0,False,0.0078125,256,530.1255493164062,16426.662109375,0.0223561469465494
READ,resnet50,1,pca256,0.0001,False,0.0078125,256,530.1255493164062,16426.662109375,0.0223908144980669
READ,resnet50,1,pca256,0.001,False,0.0078125,256,530.1255493164062,16426.662109375,0.0223908070474863
READ,resnet50,1,pca256,0.01,False,0.0078125,256,530.1255493164062,16426.662109375,0.0223908182233572
READ,resnet50,1,pca256,0.1,False,0.0078125,256,530.1255493164062,16426.662109375,0.022390853613615
READ,resnet50,1,pca256,1.0,False,0.0078125,256,530.1255493164062,16426.662109375,0.0223913360387086
READ,resnet50,1,pca256,10.0,False,0.0078125,256,530.1255493164062,16426.662109375,0.0223960038274526
READ,resnet50,1,pca256,100.0,False,0.0078125,256,530.1255493164062,16426.662109375,0.0223000887781381
READ,resnet50,1,pca256,1000.0,False,0.0078125,256,530.1255493164062,16426.662109375,0.0223103761672973
READ,resnet50,1,pca256,10000.0,False,0.0078125,256,530.1255493164062,16426.662109375,0.0212431885302066
READ,resnet50,1,pca256,100000.0,False,0.0078125,256,530.1255493164062,16426.662109375,0.038233894854784
READ,resnet50,1,pca256,1000000.0,False,0.0078125,256,530.1255493164062,16426.662109375,0.0535418167710304
READ,resnet50,1,raw,0.0,False,0.001953125,1024,50099.125,4587.9990234375,0.0039608650840818
READ,resnet50,1,raw,0.0001,False,0.001953125,1024,50099.125,4587.9990234375,0.0037763165310025
