encoder,task,held_slide,n_slides,m_test,n_train,n_genes,pearson_cross,pearson_within,site_shift,test_slides_in_train
resnet50,CCRCC,INT1,24,1084,73136,50,0.11963707953691483,0.5729022026062012,0.45326512306928635,24
resnet50,CCRCC,INT10,24,1983,72237,50,0.4325423538684845,0.5551637411117554,0.12262138724327087,24
resnet50,CCRCC,INT11,24,1439,72781,50,0.04775610566139221,0.5730119943618774,0.5252558887004852,24
resnet50,CCRCC,INT12,24,1451,72769,50,0.06837396323680878,0.5803850293159485,0.5120110660791397,24
resnet50,CCRCC,INT13,24,4359,69861,50,0.09834647923707962,0.5685388445854187,0.4701923653483391,24
resnet50,CCRCC,INT14,24,4562,69658,50,0.0871485248208046,0.5798397660255432,0.4926912412047386,24
resnet50,CCRCC,INT15,24,4940,69280,50,0.10296545922756195,0.5778998732566833,0.4749344140291214,24
resnet50,CCRCC,INT16,24,3206,71014,50,0.1032511442899704,0.5677659511566162,0.4645148068666458,24
resnet50,CCRCC,INT17,24,3585,70635,50,0.10173951089382172,0.5806108117103577,0.47887130081653595,24
resnet50,CCRCC,INT18,24,4915,69305,50,0.23983000218868256,0.5772884488105774,0.33745844662189484,24
resnet50,CCRCC,INT19,24,4948,69272,50,0.12335274368524551,0.575589656829834,0.45223691314458847,24
resnet50,CCRCC,INT2,24,2580,71640,50,0.23020316660404205,0.5824668407440186,0.3522636741399765,24
resnet50,CCRCC,INT20,24,4860,69360,50,0.133121520280838,0.582790732383728,0.44966921210289,24
resnet50,CCRCC,INT21,24,4975,69245,50,0.19048431515693665,0.578765332698822,0.3882810175418854,24
resnet50,CCRCC,INT22,24,3829,70391,50,0.11678021401166916,0.5806052684783936,0.4638250544667244,24
resnet50,CCRCC,INT23,24,4755,69465,50,0.07812689989805222,0.5703790783882141,0.4922521784901619,24
resnet50,CCRCC,INT24,24,4510,69710,50,0.18014024198055267,0.5669549703598022,0.3868147283792496,24
resnet50,CCRCC,INT3,24,2007,72213,50,0.18557648360729218,0.5714789628982544,0.3859024792909622,24
resnet50,CCRCC,INT4,24,1349,72871,50,0.13531431555747986,0.5777011513710022,0.44238683581352234,24
resnet50,CCRCC,INT5,24,1186,73034,50,0.46464329957962036,0.5851431488990784,0.12049984931945801,24
resnet50,CCRCC,INT6,24,1678,72542,50,0.21666885912418365,0.5749990344047546,0.358330175280571,24
resnet50,CCRCC,INT7,24,2374,71846,50,-0.002459005918353796,0.5626636743545532,0.565122680272907,24
resnet50,CCRCC,INT8,24,1949,72271,50,0.0898057073354721,0.571986734867096,0.48218102753162384,24
resnet50,CCRCC,INT9,24,1696,72524,50,0.36196422576904297,0.5641109943389893,0.2021467685699463,24
resnet50,COAD,TENX111,4,5079,10572,50,0.28752371668815613,0.681017279624939,0.39349356293678284,4
resnet50,COAD,TENX147,4,3417,12234,50,0.4819721579551697,0.6883779168128967,0.20640575885772705,4
resnet50,COAD,TENX148,4,3535,12116,50,0.42249348759651184,0.6857938170433044,0.2633003294467926,4
resnet50,COAD,TENX149,4,3620,12031,50,0.5393147468566895,0.6767131090164185,0.137398362159729,4
resnet50,IDC,NCBI783,4,3005,32531,50,0.5180663466453552,0.7338594198226929,0.21579307317733765,4
resnet50,IDC,NCBI785,4,4010,31526,50,0.4555846154689789,0.7405841946601868,0.2849995791912079,4
resnet50,IDC,TENX95,4,7760,27776,50,0.5137679576873779,0.7312393188476562,0.21747136116027832,4
resnet50,IDC,TENX99,4,20761,14775,50,0.40814751386642456,0.7294661998748779,0.32131868600845337,4
resnet50,LYMPH_IDC,NCBI681,4,4992,14972,50,0.17798840999603271,0.6289466023445129,0.4509581923484802,4
resnet50,LYMPH_IDC,NCBI682,4,4988,14976,50,0.2524821162223816,0.6268244981765747,0.3743423819541931,4
resnet50,LYMPH_IDC,NCBI683,4,4992,14972,50,0.1968197226524353,0.6331930756568909,0.43637335300445557,4
resnet50,LYMPH_IDC,NCBI684,4,4992,14972,50,0.2947629690170288,0.6309775710105896,0.3362146019935608,4
resnet50,PAAD,TENX116,3,2010,5561,50,0.3299010396003723,0.7050081491470337,0.3751071095466614,3
resnet50,PAAD,TENX126,3,1951,5620,50,0.33835315704345703,0.7011423707008362,0.36278921365737915,3
resnet50,PAAD,TENX140,3,3610,3961,50,0.4956418573856354,0.6980658173561096,0.20242395997047424,3
resnet50,PRAD,MEND139,23,3749,58961,50,0.12775343656539917,0.5168310403823853,0.3890776038169861,23
resnet50,PRAD,MEND140,23,1935,60775,50,0.4377220869064331,0.507186233997345,0.06946414709091187,23
resnet50,PRAD,MEND141,23,1794,60916,50,0.42210623621940613,0.5299906134605408,0.10788437724113464,23
resnet50,PRAD,MEND142,23,2997,59713,50,0.30076488852500916,0.5137917995452881,0.21302691102027893,23
resnet50,PRAD,MEND143,23,3816,58894,50,0.2195456624031067,0.5228912234306335,0.30334556102752686,23
resnet50,PRAD,MEND144,23,4074,58636,50,0.09689609706401825,0.5114355683326721,0.41453947126865387,23
