encoder,task,design,fold,repeat,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_slide,test_source
hoptimus0,CCRCC,patient,0,,55849,18371,4,0.2083837389945984,0.1600010823458433,,
hoptimus0,CCRCC,random,0,0.0,55849,18371,24,0.6558906435966492,0.2646946591945986,,
hoptimus0,CCRCC,blocked,0,0.0,54825,19395,24,0.6527441143989563,0.2415469962482651,,
hoptimus0,CCRCC,random,0,1.0,55849,18371,24,0.6539116501808167,0.2635785328845183,,
hoptimus0,CCRCC,blocked,0,1.0,54881,19339,24,0.6416805386543274,0.2416342065359155,,
hoptimus0,CCRCC,random,0,2.0,55849,18371,24,0.6604387760162354,0.2633259827271104,,
hoptimus0,CCRCC,blocked,0,2.0,54647,19573,24,0.640949010848999,0.2220243457704782,,
hoptimus0,CCRCC,random,0,3.0,55849,18371,24,0.6557957530021667,0.25882546727856,,
hoptimus0,CCRCC,blocked,0,3.0,55018,19202,24,0.6364001631736755,0.2426315221625069,,
hoptimus0,CCRCC,random,0,4.0,55849,18371,24,0.6585174798965454,0.266697881432871,,
hoptimus0,CCRCC,blocked,0,4.0,55080,19140,24,0.6450832486152649,0.2323649638953308,,
hoptimus0,CCRCC,patient,1,,67651,6569,4,0.2848246097564697,0.2610040763393044,,
hoptimus0,CCRCC,random,1,0.0,67651,6569,24,0.6630752682685852,0.2657190853108962,,
hoptimus0,CCRCC,blocked,1,0.0,66329,7891,24,0.6743611693382263,0.1908100367484924,,
hoptimus0,CCRCC,random,1,1.0,67651,6569,24,0.658221960067749,0.2548139253631234,,
hoptimus0,CCRCC,blocked,1,1.0,66191,8029,24,0.6467074751853943,0.2409937082168956,,
hoptimus0,CCRCC,random,1,2.0,67651,6569,24,0.6520032286643982,0.2644052368899186,,
hoptimus0,CCRCC,blocked,1,2.0,66441,7779,24,0.6475986242294312,0.1992201107689955,,
hoptimus0,CCRCC,random,1,3.0,67651,6569,24,0.6510809063911438,0.2587266797199845,,
hoptimus0,CCRCC,blocked,1,3.0,66133,8087,24,0.6297868490219116,0.2347317047727604,,
hoptimus0,CCRCC,random,1,4.0,67651,6569,24,0.6510132551193237,0.2609309285568694,,
hoptimus0,CCRCC,blocked,1,4.0,66108,8112,24,0.636868417263031,0.2338788874913007,,
hoptimus0,CCRCC,patient,2,,63464,10756,4,0.2688907384872436,0.1407576669007539,,
hoptimus0,CCRCC,random,2,0.0,63464,10756,24,0.6533576846122742,0.2611619836340348,,
hoptimus0,CCRCC,blocked,2,0.0,62090,12130,24,0.6419238448143005,0.2313715767425795,,
hoptimus0,CCRCC,random,2,1.0,63464,10756,24,0.6501415967941284,0.2576753199100494,,
hoptimus0,CCRCC,blocked,2,1.0,62076,12144,24,0.6346419453620911,0.2174456363233427,,
hoptimus0,CCRCC,random,2,2.0,63464,10756,24,0.6519744992256165,0.2650376876505713,,
hoptimus0,CCRCC,blocked,2,2.0,62375,11845,24,0.6407225728034973,0.2233617164116973,,
hoptimus0,CCRCC,random,2,3.0,63464,10756,24,0.6486555337905884,0.2662573953469594,,
hoptimus0,CCRCC,blocked,2,3.0,62002,12218,24,0.6355331540107727,0.2488356445295115,,
hoptimus0,CCRCC,random,2,4.0,63464,10756,24,0.6541560888290405,0.2602949794381857,,
hoptimus0,CCRCC,blocked,2,4.0,62181,12039,24,0.6328891515731812,0.2156290433291966,,
hoptimus0,CCRCC,patient,3,,67098,7122,4,0.2824947237968445,0.2898417674005031,,
hoptimus0,CCRCC,random,3,0.0,67098,7122,24,0.6574434638023376,0.2601336751443644,,
hoptimus0,CCRCC,blocked,3,0.0,65932,8288,24,0.6636342406272888,0.2471012105233967,,
hoptimus0,CCRCC,random,3,1.0,67098,7122,24,0.655417263507843,0.2613768568262458,,
hoptimus0,CCRCC,blocked,3,1.0,65953,8267,24,0.6251586675643921,0.2098062268147865,,
hoptimus0,CCRCC,random,3,2.0,67098,7122,24,0.650144636631012,0.2604354658784966,,
hoptimus0,CCRCC,blocked,3,2.0,65642,8578,24,0.6351569890975952,0.2301588133947613,,
hoptimus0,CCRCC,random,3,3.0,67098,7122,24,0.656585156917572,0.2645668215118348,,
hoptimus0,CCRCC,blocked,3,3.0,65756,8464,24,0.6483597755432129,0.2465898585505783,,
hoptimus0,CCRCC,random,3,4.0,67098,7122,24,0.6466525197029114,0.2628304592023293,,
hoptimus0,CCRCC,blocked,3,4.0,65777,8443,24,0.6466119289398193,0.2011773466753462,,
hoptimus0,CCRCC,patient,4,,59472,14748,4,0.2525989413261413,0.1593036260455846,,
hoptimus0,CCRCC,random,4,0.0,59472,14748,24,0.6559401750564575,0.2678517674406369,,
hoptimus0,CCRCC,blocked,4,0.0,58147,16073,24,0.6323169469833374,0.2428141164127737,,
hoptimus0,CCRCC,random,4,1.0,59472,14748,24,0.6581963300704956,0.2603423843781153,,
hoptimus0,CCRCC,blocked,4,1.0,58239,15981,24,0.6366681456565857,0.2396800296070675,,
hoptimus0,CCRCC,random,4,2.0,59472,14748,24,0.6542972326278687,0.2656014220168193,,
hoptimus0,CCRCC,blocked,4,2.0,58012,16208,24,0.6613104939460754,0.2486473270691931,,
hoptimus0,CCRCC,random,4,3.0,59472,14748,24,0.6517006754875183,0.2636287536782523,,
hoptimus0,CCRCC,blocked,4,3.0,58012,16208,24,0.6630399823188782,0.243836135448267,,
hoptimus0,CCRCC,random,4,4.0,59472,14748,24,0.655411958694458,0.2601785993513961,,
hoptimus0,CCRCC,blocked,4,4.0,58123,16097,24,0.6532790660858154,0.2418506281683221,,
hoptimus0,CCRCC,patient,5,,57566,16654,4,0.3088080286979675,0.1918718107044696,,
hoptimus0,CCRCC,random,5,0.0,57566,16654,24,0.653134822845459,0.2669708030298352,,
hoptimus0,CCRCC,blocked,5,0.0,56335,17885,24,0.6427750587463379,0.2450500164801875,,
hoptimus0,CCRCC,random,5,1.0,57566,16654,24,0.6585342288017273,0.2644941341131925,,
