encoder,task,design,fold,repeat,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_slide,test_source
uni_v2,CCRCC,patient,0,,55849,18371,4,0.22047241032123566,0.18657349050045013,,
uni_v2,CCRCC,random,0,0.0,55849,18371,24,0.6563079953193665,0.2602593743552764,,
uni_v2,CCRCC,blocked,0,0.0,54825,19395,24,0.6524170637130737,0.2362785724302133,,
uni_v2,CCRCC,random,0,1.0,55849,18371,24,0.6550273299217224,0.25946060676748556,,
uni_v2,CCRCC,blocked,0,1.0,54881,19339,24,0.6466600894927979,0.24644460653265318,,
uni_v2,CCRCC,random,0,2.0,55849,18371,24,0.6604123711585999,0.25903468842928606,,
uni_v2,CCRCC,blocked,0,2.0,54647,19573,24,0.6398449540138245,0.2142466813675128,,
uni_v2,CCRCC,random,0,3.0,55849,18371,24,0.6568452715873718,0.25662798931201297,,
uni_v2,CCRCC,blocked,0,3.0,55018,19202,24,0.6320800185203552,0.23734414585245153,,
uni_v2,CCRCC,random,0,4.0,55849,18371,24,0.6594317555427551,0.2639169027097523,,
uni_v2,CCRCC,blocked,0,4.0,55080,19140,24,0.6466124653816223,0.22630940905461708,,
uni_v2,CCRCC,patient,1,,67651,6569,4,0.2596687078475952,0.25127397757023573,,
uni_v2,CCRCC,random,1,0.0,67651,6569,24,0.6629582047462463,0.2597870418491463,,
uni_v2,CCRCC,blocked,1,0.0,66329,7891,24,0.6747103929519653,0.17868884024210274,,
uni_v2,CCRCC,random,1,1.0,67651,6569,24,0.6587167978286743,0.2511455450827877,,
uni_v2,CCRCC,blocked,1,1.0,66191,8029,24,0.6519875526428223,0.2375794752345731,,
uni_v2,CCRCC,random,1,2.0,67651,6569,24,0.6533263921737671,0.25881447953482467,,
uni_v2,CCRCC,blocked,1,2.0,66441,7779,24,0.648073673248291,0.18765353531731913,,
uni_v2,CCRCC,random,1,3.0,67651,6569,24,0.6526097655296326,0.2575216153636575,,
uni_v2,CCRCC,blocked,1,3.0,66133,8087,24,0.6306163668632507,0.2231487882672809,,
uni_v2,CCRCC,random,1,4.0,67651,6569,24,0.6537788510322571,0.262289351473252,,
uni_v2,CCRCC,blocked,1,4.0,66108,8112,24,0.6326570510864258,0.23145912552718073,,
uni_v2,CCRCC,patient,2,,63464,10756,4,0.22787770628929138,0.13195483479648829,,
uni_v2,CCRCC,random,2,0.0,63464,10756,24,0.6547397375106812,0.2589289109843473,,
uni_v2,CCRCC,blocked,2,0.0,62090,12130,24,0.643555760383606,0.2366290379820081,,
uni_v2,CCRCC,random,2,1.0,63464,10756,24,0.6507319808006287,0.2508662684510152,,
uni_v2,CCRCC,blocked,2,1.0,62076,12144,24,0.6360959410667419,0.21024066706498465,,
uni_v2,CCRCC,random,2,2.0,63464,10756,24,0.6540970802307129,0.26036906366546947,,
uni_v2,CCRCC,blocked,2,2.0,62375,11845,24,0.6465132236480713,0.22997390618547797,,
uni_v2,CCRCC,random,2,3.0,63464,10756,24,0.6501778364181519,0.26459246315062046,,
uni_v2,CCRCC,blocked,2,3.0,62002,12218,24,0.632841944694519,0.2378173633866633,,
uni_v2,CCRCC,random,2,4.0,63464,10756,24,0.6544397473335266,0.2528779947509368,,
uni_v2,CCRCC,blocked,2,4.0,62181,12039,24,0.6331833600997925,0.20791909848533882,,
uni_v2,CCRCC,patient,3,,67098,7122,4,0.3512951135635376,0.3032720312476158,,
uni_v2,CCRCC,random,3,0.0,67098,7122,24,0.6577807068824768,0.2553060251908998,,
uni_v2,CCRCC,blocked,3,0.0,65932,8288,24,0.6641420722007751,0.2363701366703026,,
uni_v2,CCRCC,random,3,1.0,67098,7122,24,0.6546585559844971,0.25664575460056466,,
uni_v2,CCRCC,blocked,3,1.0,65953,8267,24,0.6308742165565491,0.21426578859488168,,
uni_v2,CCRCC,random,3,2.0,67098,7122,24,0.6506792306900024,0.25526807084679604,,
uni_v2,CCRCC,blocked,3,2.0,65642,8578,24,0.6338332891464233,0.22342659616454816,,
uni_v2,CCRCC,random,3,3.0,67098,7122,24,0.6591740250587463,0.26355544617399573,,
uni_v2,CCRCC,blocked,3,3.0,65756,8464,24,0.6541845798492432,0.24337578075937927,,
uni_v2,CCRCC,random,3,4.0,67098,7122,24,0.6499636769294739,0.2600120461235444,,
uni_v2,CCRCC,blocked,3,4.0,65777,8443,24,0.6455641984939575,0.19224779882157841,,
uni_v2,CCRCC,patient,4,,59472,14748,4,0.22881366312503815,0.17735584825277328,,
uni_v2,CCRCC,random,4,0.0,59472,14748,24,0.65642911195755,0.26227387754867476,,
uni_v2,CCRCC,blocked,4,0.0,58147,16073,24,0.6329444646835327,0.22848233534023166,,
uni_v2,CCRCC,random,4,1.0,59472,14748,24,0.6578463912010193,0.2569083996737997,,
uni_v2,CCRCC,blocked,4,1.0,58239,15981,24,0.6367786526679993,0.2392651295134177,,
uni_v2,CCRCC,random,4,2.0,59472,14748,24,0.6547589898109436,0.2617745151122411,,
uni_v2,CCRCC,blocked,4,2.0,58012,16208,24,0.6632379293441772,0.2454170317699512,,
uni_v2,CCRCC,random,4,3.0,59472,14748,24,0.6518469452857971,0.2572780701642235,,
uni_v2,CCRCC,blocked,4,3.0,58012,16208,24,0.6673077344894409,0.24545489208927998,,
uni_v2,CCRCC,random,4,4.0,59472,14748,24,0.6555940508842468,0.25855065509676933,,
uni_v2,CCRCC,blocked,4,4.0,58123,16097,24,0.6583186984062195,0.24532340719209364,,
uni_v2,CCRCC,patient,5,,57566,16654,4,0.29592618346214294,0.188883725553751,,
uni_v2,CCRCC,random,5,0.0,57566,16654,24,0.6525882482528687,0.26165643939748406,,
uni_v2,CCRCC,blocked,5,0.0,56335,17885,24,0.642090916633606,0.24293283745646477,,
uni_v2,CCRCC,random,5,1.0,57566,16654,24,0.6588687896728516,0.2577348131065567,,
uni_v2,CCRCC,blocked,5,1.0,56321,17899,24,0.6537090539932251,0.23708589592327675,,
uni_v2,CCRCC,random,5,2.0,57566,16654,24,0.6522663235664368,0.2604003905629118,,
uni_v2,CCRCC,blocked,5,2.0,56390,17830,24,0.6399809122085571,0.2395990629059573,,
uni_v2,CCRCC,random,5,3.0,57566,16654,24,0.6474305987358093,0.25872009961555403,,
uni_v2,CCRCC,blocked,5,3.0,56615,17605,24,0.663628101348877,0.228249048270906,,
uni_v2,CCRCC,random,5,4.0,57566,16654,24,0.6584966778755188,0.2581171637090544,,
uni_v2,CCRCC,blocked,5,4.0,56692,17528,24,0.644806981086731,0.23494494489083687,,
uni_v2,COAD,patient,0,,5079,10572,3,0.2975705862045288,0.30504851043224335,,
uni_v2,COAD,random,0,0.0,5079,10572,4,0.7384706735610962,0.626898281276226,,
uni_v2,COAD,blocked,0,0.0,4798,10853,4,0.7000896334648132,0.5884257405996323,,
uni_v2,COAD,random,0,1.0,5079,10572,4,0.7401472330093384,0.6294350922107697,,
