encoder,task,design,fold,repeat,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_slide,test_source
virchow,CCRCC,patient,0,,55849,18371,4,0.2207426130771637,0.16853487491607666,,
virchow,CCRCC,random,0,0.0,55849,18371,24,0.6494094729423523,0.26191980314130586,,
virchow,CCRCC,blocked,0,0.0,54825,19395,24,0.6462489366531372,0.22869085179020962,,
virchow,CCRCC,random,0,1.0,55849,18371,24,0.6475452184677124,0.2611198613109688,,
virchow,CCRCC,blocked,0,1.0,54881,19339,24,0.6356781125068665,0.24122841004282236,,
virchow,CCRCC,random,0,2.0,55849,18371,24,0.6530330777168274,0.2591620838890473,,
virchow,CCRCC,blocked,0,2.0,54647,19573,24,0.6295403242111206,0.21347791788866743,,
virchow,CCRCC,random,0,3.0,55849,18371,24,0.6487705707550049,0.2547988415074845,,
virchow,CCRCC,blocked,0,3.0,55018,19202,24,0.6272668242454529,0.23418417720434567,,
virchow,CCRCC,random,0,4.0,55849,18371,24,0.6506986021995544,0.2603954682126641,,
virchow,CCRCC,blocked,0,4.0,55080,19140,24,0.6404862999916077,0.23006528429687023,,
virchow,CCRCC,patient,1,,67651,6569,4,0.23848408460617065,0.25613229162991047,,
virchow,CCRCC,random,1,0.0,67651,6569,24,0.6556845903396606,0.2601716335241993,,
virchow,CCRCC,blocked,1,0.0,66329,7891,24,0.6669002771377563,0.1776683322774867,,
virchow,CCRCC,random,1,1.0,67651,6569,24,0.6519401669502258,0.25288859017503756,,
virchow,CCRCC,blocked,1,1.0,66191,8029,24,0.6444566249847412,0.23124945532375327,,
virchow,CCRCC,random,1,2.0,67651,6569,24,0.6448678374290466,0.25369161351894337,,
virchow,CCRCC,blocked,1,2.0,66441,7779,24,0.6389009356498718,0.19435259513556957,,
virchow,CCRCC,random,1,3.0,67651,6569,24,0.6434447765350342,0.2510848866465191,,
virchow,CCRCC,blocked,1,3.0,66133,8087,24,0.6243688464164734,0.22993380519619677,,
virchow,CCRCC,random,1,4.0,67651,6569,24,0.6454553008079529,0.258521496783942,,
virchow,CCRCC,blocked,1,4.0,66108,8112,24,0.6268466711044312,0.22047371182513112,,
virchow,CCRCC,patient,2,,63464,10756,4,0.24724797904491425,0.1498594623990357,,
virchow,CCRCC,random,2,0.0,63464,10756,24,0.6464113593101501,0.2560036776897808,,
virchow,CCRCC,blocked,2,0.0,62090,12130,24,0.6347054839134216,0.2319210639107041,,
virchow,CCRCC,random,2,1.0,63464,10756,24,0.6427692174911499,0.24988986598327756,,
virchow,CCRCC,blocked,2,1.0,62076,12144,24,0.6265775561332703,0.21321967422651747,,
virchow,CCRCC,random,2,2.0,63464,10756,24,0.6461581587791443,0.2608095988786469,,
virchow,CCRCC,blocked,2,2.0,62375,11845,24,0.6353124380111694,0.2211267791960078,,
virchow,CCRCC,random,2,3.0,63464,10756,24,0.6416295766830444,0.2602579789236188,,
virchow,CCRCC,blocked,2,3.0,62002,12218,24,0.6231062412261963,0.23110589974870285,,
virchow,CCRCC,random,2,4.0,63464,10756,24,0.6472067832946777,0.25547149560103816,,
virchow,CCRCC,blocked,2,4.0,62181,12039,24,0.6258046627044678,0.21880700687567392,,
virchow,CCRCC,patient,3,,67098,7122,4,0.306530624628067,0.29637692496180534,,
virchow,CCRCC,random,3,0.0,67098,7122,24,0.6497324109077454,0.2540971900646885,,
virchow,CCRCC,blocked,3,0.0,65932,8288,24,0.6554540991783142,0.23347981694314512,,
virchow,CCRCC,random,3,1.0,67098,7122,24,0.6488006114959717,0.2577832960523665,,
virchow,CCRCC,blocked,3,1.0,65953,8267,24,0.6228213310241699,0.2113127203968664,,
virchow,CCRCC,random,3,2.0,67098,7122,24,0.6435922980308533,0.2568478259878854,,
virchow,CCRCC,blocked,3,2.0,65642,8578,24,0.6281155347824097,0.21779340233964226,,
virchow,CCRCC,random,3,3.0,67098,7122,24,0.6499885320663452,0.2603932211641222,,
virchow,CCRCC,blocked,3,3.0,65756,8464,24,0.6408005356788635,0.2398130161454901,,
